Root,NumGen,YellowKey,Alias
pt,1,Index,pt
sp,1,Index,sp
ib,1,Index,ib
hi,1,Index,hi
eo,1,Index,eo
es,1,Index,es
vg,1,Index,vg
z ,1,Index,z
cf,1,Index,cf
gx,1,Index,gx
sm,1,Index,sm
nk,1,Index,nk
tp,1,Index,tp
xp,1,Index,xp
ux,6,Index,ux
ty,1,Comdty,ty
fv,1,Comdty,fv
tu,1,Comdty,tu
cn,1,Comdty,cn
rx,1,Comdty,rx
oe,1,Comdty,oe
du,1,Comdty,du
g ,1,Comdty,g
ik,1,Comdty,ik
oat,1,Comdty,oat
jb,1,Comdty,jb
ed,6,Comdty,ed
er,6,Comdty,er
l ,6,Comdty,l
ba,6,Comdty,ba
xm,1,Comdty,xm
ym,1,Comdty,ym
cl,13,Comdty,cl
co,13,Comdty,co
ng,13,Comdty,ng
qs,13,Comdty,qs
ho,13,Comdty,ho
xbw,13,Comdty,xbw
w ,6,Comdty,w
c ,6,Comdty,c
s ,8,Comdty,s
kw,6,Comdty,kw
sm,9,Comdty,sym
bo,9,Comdty,bo
ct,6,Comdty,ct
cc,6,Comdty,cc
kc,6,Comdty,kc
sb,5,Comdty,sb
lh,9,Comdty,lh
lc,7,Comdty,lc
hg,6,Comdty,hg
gc,7,Comdty,gc
si,6,Comdty,si
pl,6,Comdty,pl
pa,6,Comdty,pa
o ,6,Comdty,o
mw,6,Comdty,mw
rr,6,Comdty,rr
fc,6,Comdty,fc
la,13,Comdty,la
ln,13,Comdty,ln
lx,13,Comdty,lx
ll,13,Comdty,ll
lp,13,Comdty,lp
jo,6,Comdty,jo
ec,1,Curncy,ec
cd,1,Curncy,cd
ad,1,Curncy,ad
jy,1,Curncy,jy
sf,1,Curncy,sf
bp,1,Curncy,bp
nv,1,Curncy,nv
se,1,Curncy,se
no,1,Curncy,no
br,1,Curncy,br
ra,1,Curncy,ra
ru,1,Curncy,ru
pe,1,Curncy,pe
dx,1,Curncy,dx
